Team #,Match #,Scouter Initials,Team Number,Match Number,Robot,Starting Location,No Show,Taxied?,Upper Cargo Scored,Upper Cargo Missed,Lower Cargo Scored,Upper Cargo Scored,Lower Cargo Scored,Defended?,Climb,Started Climb With Time Remaining,Played Defense for Match %,Defense Rating,Disabled for Match %,Comments,,,,,,,,,,,,
1895,7,elp,1895,7,b2,undefined,FALSE,TRUE,0,0,0,7,0,FALSE,2,null,0,x,0,missed cargo in auto,,,,,,,,,,,,
4286,7,Cm,4286,7,b3,middle,FALSE,TRUE,0,0,1,0,6,FALSE,2,30,0,x,,Top heavy,,,,,,,,,,,,
1111,8,Ed,1111,8,r1,right,FALSE,TRUE,0,0,0,17,0,FALSE,1,,0,x,0,Attempte low climb too late,,,,,,,,,,,,
1629,8,NS,1629,8,r2,middle,FALSE,TRUE,1,0,0,8,1,FALSE,3,null,0,x,0,Shoots consistently but only when its flushed against the hub,,,,,,,,,,,,
620,8,TR,620,8,r3,undefined,FALSE,FALSE,1,0,0,1,0,FALSE,4,40,10,n,0,Shooter was consistently short. Many shots missed,,,,,,,,,,,,
116,8, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,8,elp,122,8,b1,middle,FALSE,TRUE,1,0,0,9,0,FALSE,x,null,0,x,0,"not super accurate shooting, balls get pushed away by chassis",,,,,,,,,,,,
449,8,Cm,449,8,b3,left,FALSE,FALSE,0,0,2,6,0,FALSE,2,30,0,x,,EXTREMELY unstable almost tipped going over cable covers,,,,,,,,,,,,
6504,9,Ed,6504,9,r1,middle,FALSE,TRUE,0,0,1,0,3,FALSE,f,10,60,a,0,Attempte mid climb too late,,,,,,,,,,,,
1727,9,NS,1727,9,r2,right,FALSE,FALSE,0,2,0,0,0,FALSE,4,38,15,n,0,Didn’t make any shots,,,,,,,,,,,,
1599,9,TR,1599,9,r3,undefined,FALSE,FALSE,0,0,0,5,0,TRUE,1,32,0,x,0,"Shooter was pretty accurate, climbing was inefficient.",,,,,,,,,,,,
888,9,DD,888,9,b1,middle,FALSE,TRUE,0,1,0,7,0,TRUE,3,10,75,x,0,Wonderful defense and shooting,,,,,,,,,,,,
4541,9,elp,4541,9,b2,undefined,FALSE,TRUE,0,0,0,1,0,FALSE,f,20,10,a,0,attempted traversal and fell,,,,,,,,,,,,
